record,date,locat,elev,temp,duration,spp,genus,family,pond.size,f.per.h
161,6/25/24,mud lake,2554,29,3.22,lq,Libellula,Libs,435.71,80
162,6/25/24,mud lake,2554,29,1.78,lq,Libellula,Libs,435.71,80
163,6/25/24,mud lake,2554,29,2.69,lq,Libellula,Libs,435.71,80
164,6/25/24,mud lake,2554,29,4.88,lq,Libellula,Libs,435.71,80
165,6/25/24,mud lake,2554,29,7.53,lq,Libellula,Libs,435.71,80
166,6/25/24,mud lake,2554,29,1.44,lq,Libellula,Libs,435.71,80
167,6/25/24,mud lake,2554,29,3.06,lq,Libellula,Libs,435.71,80
168,6/25/24,mud lake,2554,29,1.88,lq,Libellula,Libs,435.71,80
169,6/25/24,mud lake,2554,29,6.09,lq,Libellula,Libs,435.71,80
170,6/25/24,mud lake,2554,29,3.94,lq,Libellula,Libs,435.71,80
171,6/25/24,mud lake,2554,29,2.78,lq,Libellula,Libs,435.71,80
172,6/25/24,mud lake,2554,29,2.75,lq,Libellula,Libs,435.71,80
173,6/25/24,mud lake,2554,29,2.71,lq,Libellula,Libs,435.71,80
174,6/25/24,mud lake,2554,29,2.47,lq,Libellula,Libs,435.71,80
175,6/25/24,mud lake,2554,29,1.81,lq,Libellula,Libs,435.71,80
176,6/25/24,mud lake,2554,29,4.18,lq,Libellula,Libs,435.71,80
177,6/25/24,mud lake,2554,29,4.65,lq,Libellula,Libs,435.71,80
178,6/25/24,mud lake,2554,29,1.41,lq,Libellula,Libs,435.71,80
179,6/25/24,mud lake,2554,29,4.16,lq,Libellula,Libs,435.71,80
180,6/25/24,mud lake,2554,29,3.13,lq,Libellula,Libs,435.71,80
181,6/25/24,mud lake,2554,29,1.12,lq,Libellula,Libs,435.71,80
182,6/25/24,lily lake,2721,22.2,4.17,lq,Libellula,Libs,1264.54,38
183,6/25/24,lily lake,2721,22.2,1.47,lq,Libellula,Libs,1264.54,38
184,6/25/24,lily lake,2721,22.2,6.59,lq,Libellula,Libs,1264.54,38
185,6/25/24,lily lake,2721,22.2,4,lq,Libellula,Libs,1264.54,38
186,6/25/24,lily lake,2721,22.2,1.72,lq,Libellula,Libs,1264.54,38
187,6/25/24,lily lake,2721,22.2,6.97,lq,Libellula,Libs,1264.54,38
188,6/25/24,lily lake,2721,22.2,5.78,lq,Libellula,Libs,1264.54,38
189,6/25/24,lily lake,2721,22.2,3.72,lq,Libellula,Libs,1264.54,38
190,6/25/24,lily lake,2721,22.2,2.25,lq,Libellula,Libs,1264.54,38
191,6/25/24,lily lake,2721,22.2,5.34,lq,Libellula,Libs,1264.54,38
192,6/25/24,lily lake,2721,22.2,4,lq,Libellula,Libs,1264.54,38
193,6/25/24,lily lake,2721,22.2,2.09,lq,Libellula,Libs,1264.54,38
194,6/25/24,lily lake,2721,22.2,3.75,lq,Libellula,Libs,1264.54,38
195,6/25/24,lily lake,2721,22.2,4.59,lq,Libellula,Libs,1264.54,38
196,6/25/24,lily lake,2721,22.2,6.16,lq,Libellula,Libs,1264.54,38
197,6/25/24,lily lake,2721,22.2,4.56,lq,Libellula,Libs,1264.54,38
198,6/25/24,lily lake,2721,22.2,2.84,lq,Libellula,Libs,1264.54,38
199,6/25/24,lily lake,2721,22.2,8.71,lq,Libellula,Libs,1264.54,38
200,6/25/24,lily lake,2721,22.2,4.19,lq,Libellula,Libs,1264.54,38
201,7/7/24,garfield,1645,24.4,2.19,dash,Pachydiplax,Libs,832.67,34.67
202,7/7/24,garfield,1645,24.4,8.6,dash,Pachydiplax,Libs,832.67,34.67
203,7/7/24,garfield,1645,24.4,2.81,dash,Pachydiplax,Libs,832.67,34.67
204,7/7/24,garfield,1645,24.4,22.13,lpull,Libellula,Libs,832.67,34.67
205,7/7/24,garfield,1645,24.4,10.57,lpull,Libellula,Libs,832.67,34.67
206,7/7/24,garfield,1645,24.4,9.52,dash,Pachydiplax,Libs,832.67,34.67
207,7/7/24,garfield,1645,24.4,1.59,dash,Pachydiplax,Libs,832.67,34.67
208,7/7/24,garfield,1645,24.4,5.5,dash,Pachydiplax,Libs,832.67,34.67
209,7/7/24,garfield,1645,24.4,18.03,dash,Pachydiplax,Libs,832.67,34.67
210,7/7/24,garfield,1645,24.4,6.41,dash,Pachydiplax,Libs,832.67,34.67
211,7/7/24,garfield,1645,24.4,16.62,dash,Pachydiplax,Libs,832.67,34.67
212,7/7/24,garfield,1645,24.4,4.16,dash,Pachydiplax,Libs,832.67,34.67
213,7/7/24,garfield,1645,24.4,7.57,dash,Pachydiplax,Libs,832.67,34.67
214,7/7/24,garfield,1645,24.4,3.41,dash,Pachydiplax,Libs,832.67,34.67
215,7/7/24,garfield,1645,24.4,6.74,dash,Pachydiplax,Libs,832.67,34.67
216,7/7/24,garfield,1645,24.4,5.25,dash,Pachydiplax,Libs,832.67,34.67
217,7/7/24,garfield,1645,24.4,2.75,simp,Erythemis,Libs,832.67,34.67
218,7/7/24,garfield,1645,24.4,6.91,dash,Pachydiplax,Libs,832.67,34.67
219,7/7/24,garfield,1645,24.4,16.34,simp,Erythemis,Libs,832.67,34.67
220,7/7/24,garfield,1645,24.4,18.21,simp,Erythemis,Libs,832.67,34.67
221,7/7/24,garfield,1645,24.4,3.47,dash,Pachydiplax,Libs,832.67,34.67
222,7/7/24,garfield,1645,24.4,3.12,dash,Pachydiplax,Libs,832.67,34.67
223,7/7/24,garfield,1645,24.4,5.22,dash,Pachydiplax,Libs,832.67,34.67
224,7/7/24,garfield,1645,24.4,9.46,dash,Pachydiplax,Libs,832.67,34.67
225,7/7/24,garfield,1645,24.4,20.38,dash,Pachydiplax,Libs,832.67,34.67
226,7/7/24,garfield,1645,24.4,3.13,dash,Pachydiplax,Libs,832.67,34.67
227,7/7/24,garfield,1645,24.4,4.5,dash,Pachydiplax,Libs,832.67,34.67
228,7/7/24,garfield,1645,24.4,10.96,dash,Pachydiplax,Libs,832.67,34.67
229,7/7/24,garfield,1645,24.4,6.31,dash,Pachydiplax,Libs,832.67,34.67
230,7/7/24,garfield,1645,24.4,9.78,dash,Pachydiplax,Libs,832.67,34.67
231,7/7/24,garfield,1645,24.4,5.58,dash,Pachydiplax,Libs,832.67,34.67
232,7/7/24,garfield,1645,24.4,9.1,dash,Pachydiplax,Libs,832.67,34.67
233,7/7/24,garfield,1645,24.4,5.63,dash,Pachydiplax,Libs,832.67,34.67
234,7/7/24,garfield,1645,24.4,5.63,lpull,Libellula,Libs,832.67,34.67
235,7/7/24,garfield,1645,24.4,9.85,lpull,Libellula,Libs,832.67,34.67
236,7/7/24,garfield,1645,24.4,3.35,dash,Pachydiplax,Libs,832.67,34.67
237,7/7/24,garfield,1645,24.4,9,lpull,Libellula,Libs,832.67,34.67
238,7/7/24,garfield,1645,24.4,8.59,dash,Pachydiplax,Libs,832.67,34.67
239,7/7/24,garfield,1645,24.4,16.5,lpull,Libellula,Libs,832.67,34.67
240,7/7/24,garfield,1645,24.4,33.6,lpull,Libellula,Libs,832.67,34.67
241,7/7/24,garfield,1645,24.4,9.32,lpull,Libellula,Libs,832.67,34.67
242,7/7/24,garfield,1645,24.4,6.1,dash,Pachydiplax,Libs,832.67,34.67
243,7/7/24,garfield,1645,24.4,23.97,dash,Pachydiplax,Libs,832.67,34.67
244,7/7/24,garfield,1645,24.4,4.28,dash,Pachydiplax,Libs,832.67,34.67
245,7/7/24,garfield,1645,24.4,9.41,dash,Pachydiplax,Libs,832.67,34.67
246,7/7/24,garfield,1645,24.4,12.34,dash,Pachydiplax,Libs,832.67,34.67
247,7/7/24,garfield,1645,24.4,12.16,dash,Pachydiplax,Libs,832.67,34.67
248,7/7/24,garfield,1645,24.4,7.38,lpull,Libellula,Libs,832.67,34.67
249,7/7/24,garfield,1645,24.4,11.75,dash,Pachydiplax,Libs,832.67,34.67
250,7/7/24,garfield,1645,24.4,4.25,dash,Pachydiplax,Libs,832.67,34.67
251,7/7/24,garfield,1645,24.4,7.78,dash,Pachydiplax,Libs,832.67,34.67
252,7/7/24,garfield,1645,24.4,6.31,dash,Pachydiplax,Libs,832.67,34.67
253,7/8/24,bear creek gb,1639,28.2,14.28,simp,Erythemis,Libs,1445.97,14.67
254,7/8/24,bear creek gb,1639,28.2,8.37,ll,Libellula,Libs,1445.97,14.67
255,7/8/24,bear creek gb,1639,28.2,12.06,pten,Perithemis,Libs,1445.97,14.67
256,7/8/24,bear creek gb,1639,28.2,2.53,symobs,Sympetrum,Libs,1445.97,14.67
257,7/8/24,bear creek gb,1639,28.2,17.66,pten,Perithemis,Libs,1445.97,14.67
258,7/8/24,bear creek gb,1639,28.2,10.47,ll,Libellula,Libs,1445.97,14.67
259,7/8/24,bear creek gb,1639,28.2,16.87,ply,Plathemis,Libs,1445.97,14.67
260,7/8/24,bear creek gb,1639,28.2,45.47,ply,Plathemis,Libs,1445.97,14.67
261,7/8/24,bear creek gb,1639,28.2,6.25,ply,Plathemis,Libs,1445.97,14.67
262,7/8/24,bear creek gb,1639,28.2,9.78,ply,Plathemis,Libs,1445.97,14.67
263,7/8/24,bear creek gb,1639,28.2,32.88,ply,Plathemis,Libs,1445.97,14.67
264,7/8/24,mud lake,2554,20,7.43,lq,Libellula,Libs,435.71,55
265,7/8/24,mud lake,2554,20,5.37,lq,Libellula,Libs,435.71,55
266,7/8/24,mud lake,2554,20,7.78,lq,Libellula,Libs,435.71,55
267,7/8/24,mud lake,2554,20,13.9,lq,Libellula,Libs,435.71,55
268,7/8/24,mud lake,2554,20,8.66,lq,Libellula,Libs,435.71,55
269,7/8/24,mud lake,2554,20,10.06,lq,Libellula,Libs,435.71,55
270,7/8/24,mud lake,2554,20,12.91,lq,Libellula,Libs,435.71,55
271,7/8/24,mud lake,2554,20,13.28,lq,Libellula,Libs,435.71,55
272,7/8/24,mud lake,2554,20,3.37,lq,Libellula,Libs,435.71,55
273,7/8/24,mud lake,2554,20,2.53,lq,Libellula,Libs,435.71,55
274,7/8/24,mud lake,2554,20,7.81,lq,Libellula,Libs,435.71,55
275,7/8/24,mud lake,2554,20,2.09,lq,Libellula,Libs,435.71,55
276,7/8/24,mud lake,2554,20,5.06,lq,Libellula,Libs,435.71,55
277,7/8/24,mud lake,2554,20,7.94,lq,Libellula,Libs,435.71,55
278,7/8/24,mud lake,2554,20,6.47,lq,Libellula,Libs,435.71,55
279,7/8/24,mud lake,2554,20,5.97,lq,Libellula,Libs,435.71,55
280,7/8/24,mud lake,2554,20,5.44,lq,Libellula,Libs,435.71,55
281,7/8/24,mud lake,2554,20,14.29,lq,Libellula,Libs,435.71,55
282,7/8/24,mud lake,2554,20,3.93,lq,Libellula,Libs,435.71,55
283,7/8/24,mud lake,2554,20,4.28,lq,Libellula,Libs,435.71,55
284,7/8/24,mud lake,2554,20,2.57,lq,Libellula,Libs,435.71,55
285,7/8/24,mud lake,2554,20,12.31,lq,Libellula,Libs,435.71,55
286,7/8/24,mud lake,2554,20,5.62,lq,Libellula,Libs,435.71,55
287,7/8/24,mud lake,2554,20,8.4,lq,Libellula,Libs,435.71,55
288,7/8/24,mud lake,2554,20,6.62,lq,Libellula,Libs,435.71,55
289,7/8/24,mud lake,2554,20,11.68,lq,Libellula,Libs,435.71,55
290,7/8/24,mud lake,2554,20,3.97,lq,Libellula,Libs,435.71,55
291,7/8/24,mud lake,2554,20,3.96,lq,Libellula,Libs,435.71,55
292,7/8/24,mud lake,2554,20,5.41,lq,Libellula,Libs,435.71,55
293,7/8/24,mud lake,2554,20,7.21,lq,Libellula,Libs,435.71,55
294,7/8/24,mud lake,2554,20,7.72,lq,Libellula,Libs,435.71,55
295,7/8/24,mud lake,2554,20,4.72,lq,Libellula,Libs,435.71,55
296,7/8/24,mud lake,2554,20,9.91,lq,Libellula,Libs,435.71,55
297,7/8/24,mud lake,2554,20,11.47,lq,Libellula,Libs,435.71,55
298,7/8/24,mud lake,2554,20,5.31,lq,Libellula,Libs,435.71,55
299,7/8/24,mud lake,2554,20,1.84,lq,Libellula,Libs,435.71,55
300,7/8/24,mud lake,2554,20,7.94,lq,Libellula,Libs,435.71,55
301,7/8/24,mud lake,2554,20,2.69,lq,Libellula,Libs,435.71,55
302,7/8/24,mud lake,2554,20,2.94,lq,Libellula,Libs,435.71,55
303,7/8/24,mud lake,2554,20,2.09,lq,Libellula,Libs,435.71,55
304,7/8/24,mud lake,2554,20,4.72,lq,Libellula,Libs,435.71,55
305,7/8/24,mud lake,2554,20,2.08,lq,Libellula,Libs,435.71,55
306,7/8/24,mud lake,2554,20,5.38,lq,Libellula,Libs,435.71,55
307,7/8/24,mud lake,2554,20,6.31,lq,Libellula,Libs,435.71,55
308,7/8/24,mud lake,2554,20,2.19,junc,Aeshna,Aeshnids,435.71,55
309,7/8/24,mud lake,2554,20,6.6,lq,Libellula,Libs,435.71,55
310,7/8/24,mud lake,2554,20,1.72,junc,Aeshna,Aeshnids,435.71,55
311,7/8/24,mud lake,2554,20,5.31,lq,Libellula,Libs,435.71,55
312,7/8/24,mud lake,2554,20,3.57,lq,Libellula,Libs,435.71,55
313,7/8/24,mud lake,2554,20,5.35,lq,Libellula,Libs,435.71,55
314,7/8/24,mud lake,2554,20,10.69,lq,Libellula,Libs,435.71,55
315,7/8/24,mud lake,2554,20,2.44,lq,Libellula,Libs,435.71,55
316,7/8/24,mud lake,2554,20,6.66,lq,Libellula,Libs,435.71,55
317,7/8/24,mud lake,2554,20,2.88,lq,Libellula,Libs,435.71,55
318,7/8/24,mud lake,2554,20,6.28,lq,Libellula,Libs,435.71,55
319,7/9/24,golden ponds,1522,28.9,7.31,ll,Libellula,Libs,2959.53,26.67
320,7/9/24,golden ponds,1522,28.9,5.41,ll,Libellula,Libs,2959.53,26.67
321,7/9/24,golden ponds,1522,28.9,14.63,ll,Libellula,Libs,2959.53,26.67
322,7/9/24,golden ponds,1522,28.9,5.06,ll,Libellula,Libs,2959.53,26.67
